'Atuuk Dialog - GERMAN

GREETING_INTRODUCTION				;Hallo, lustiger Fremder! {0} wir sind.\n\nFreunde mit Ihnen, wir sind!
GREETING_FRIENDLY				;Gut, Sie zu sehen, Freund. Wir helfen Ihnen, ja?
GREETING_NEUTRAL				;Wir hören zu. Sie sprechen.
GREETING_ANGRY					;Was wollt ihr Stinker diesmal?

PIRATE_PROTECTIONPROPOSE			;Sie wollen, dass wir Sie beschützen? Gute Idee!\n\nFür unten gezeigten Preis, wir können alle Ihre Schiffe in unserer Region sechs Monate lang „beschützen“.\n\nBereit zu zahlen?
PIRATE_PROTECTIONPROPOSEINITIATE		;Galaxie ist gefährlicher Ort, wissen Sie. Leicht, verletzt zu werden.\n\nFür kleinen Preis wir können alle Ihre Schiffe in unserer Region sechs Monate lang beschützen.\n\nSie sollten bezahlen, hmmm?
PIRATE_PROTECTIONACCEPTRESPONSE			;Ihr Geld riecht wirklich gut!\n\nKeine Unfälle für Ihre Schiffe, bis wir alles Geld ausgegeben haben, ja?
PIRATE_PROTECTIONREJECTRESPONSE			;Kein Geld - kein Schutz.\n\nSehr einfach ist das.
PIRATE_PROTECTIONALREADYPAID			;Sie verrückter Fremder! Sie haben schon bezahlt!\n\nKommen Sie später zurück. Wir nehmen dann mehr Geld.
PIRATE_BUYINFO					;Hier ist das ganze geheime Zeug, das wir kennen.\n\nEinfach klick-klick auf alles, was Sie wollen, ja?
PIRATE_ATTACKOFFER_EMPIRES			;Wir schicken allen auf der Liste große Prügel.\n\nEinfach klick-klick auf alle, die Sie geprügelt haben wollen, ja?
PIRATE_ATTACKOFFER_SINGLEEMPIRE			;Sie mögen {0} nicht? Wir können ihnen große Prügel bringen für Sie.\n\nKeine Sorge - wir erzählen niemandem, ja?\n\nZahlen Sie uns einfach {1} Credits und wir kümmern uns um alles.\n\nKlingt gut?
PIRATE_ATTACKCOMMENCE				;Wir haben das Geld. {0} kriegen Prügel!\n\nBis dann.

PIRATE_ALLIANCEPROPOSE				;Wir haben alles Geld ausgegeben, das Sie uns geschickt haben. Wie wäre es jetzt mit fester Allianz zwischen uns?\n\nGeben Sie uns jeden Monat {0} Credits und wir beschützen Ihre Schiffe und greifen Ihre Feinde an, ohne Sie in Schwierigkeiten zu bringen.\n\nGuter Handel, ja?
PIRATE_ALLIANCEACCEPTRESPONSE		;Sie schlauer, als Sie aussehen!\n\nWir Freunde für immer jetzt - nur einfach uns Geld weiterschicken, ja?\n\nMüssen nun gehen - wir prügeln alle Ihre Feinde!
PIRATE_ALLIANCEREJECTRESPONSE		;Dummer Fremder!\n\nWir müssen essen, wissen Sie. Kein Geld, keine Hilfe für Sie - verstanden?
PIRATE_ALLIANCECANCELRESPONSE		;Sehr, sehr schlecht.\n\nWir brauchen Ihr Geld - wenn Sie es nicht hergeben, dann müssen wir es uns einfach nehmen.\n\nNicht zu spät, Meinung zu ändern, ja?

OFFER_FREETRADE					;Sie und wir Freunde - haben Freihandelsabkommen. Viel Geld!\n\nRiecht gut, ja?
FREETRADE_ACCEPT				;Wir sehr glücklich über Freihandelsabkommen mit Ihnen! Zeit für großes Fest!
FREETRADE_REJECT				;Nein, wir wollen Freihandelsabkommen nicht.\n\nVielleicht später, ja?

CANCELTREATY					;{0} mit euch allen fertig. Wir haben genug jetzt.
