
INFO_NOFUNDS					;Es scheint, als hätten Sie nicht genug Geld, um dies zu bezahlen.
INFO_UNMETEMPIRE				;Das neue Imperium trägt den Namen "{0}".
INFO_EXPLORATION	 			;Wir haben Ihnen Karten des Systems {0} in Sektor {1} übermittelt.
INFO_INDEPENDENTCOLONY				;Die unabhängige Kolonie befindet sich auf {0}.
INFO_RUINS					;Unsere Kontakte berichten von antiken Ruinen, "{0}", auf {1}.\n\nMöglicherweise stoßen Sie dort auf etwas Wertvolles...
INFO_DEBRISFIELD				;Uns sind Gerüchte über ein riesiges Trümmerfeld aus Schiffswracks im System {0} in Sektor {1} zu Ohren gekommen, die aus einer uralten Schlacht stammen sollen.\n\nOffensichtlich sind viele der Schiffe noch zu retten. Wenn Sie ein Konstruktionsschiff aussenden, sollten Sie in der Lage sein, einige wieder zum Laufen zu bringen...
INFO_PLANETDESTROYER				;Wir haben Gerüchte über ein gewaltiges verlassenes Bauprojekt im System {0} in Sektor {1} vernommen.\n\nWir sind uns über den Zweck dieses Projekts nicht im Klaren, aber mit der richtigen Ausrüstung könnte es möglicherweise fertiggestellt werden...
INFO_RESTRICTEDAREA				;Uns sind Gerüchte über ein geheimes Sperrgebiet in der Nähe des Systems {0} in Sektor {1} zu Ohren gekommen.\n\nOffenbar wird der Hyperantrieb von Schiffen, die das Gebiet kreuzen, plötzlich auf mysteriöse Weise deaktiviert. Von vielen hat man nie wieder gehört...
PIRATE_PROTECTIONPROPOSE			;Es ist sehr klug von Ihnen, uns um Schutz zu bitten. Gegen die unten angezeigte, vollkommen angemessene Gebühr können wir Ihre Sicherheit in unserem Gebiet für sechs Monate gewährleisten.
PIRATE_PROTECTIONPROPOSEINITIATE		;Wer weiß, welche verborgenen Gefahren auf Sie warten, wenn Sie durch die gesetzlosen Regionen des Weltraums reisen?\n\nGegen die unten angezeigte und vollkommen angemessene Gebühr können wir sechs Monate lang Ihre Sicherheit in unserem gesamten Gebiet garantieren.\n\nWas sagen Sie dazu?
PIRATE_PROTECTIONACCEPTRESPONSE			;Exzellent! Wir stellen sicher, dass Ihre Schiffe keine "bedauerlichen Unfälle" erleiden, bis unsere nächste Gebühr fällig ist...
PIRATE_PROTECTIONREJECTRESPONSE			;Zu schade, dass Sie so geizig sind! Ohne Bezahlung können wir Ihre Sicherheit nicht garantieren...
PIRATE_PROTECTIONALREADYPAID			;Sie haben uns bereits eine Schutzgebühr bezahlt.\n\nKommen Sie wieder, wenn die laufende Schutzphase abgelaufen ist. Wir werden dann gerne weitere Zahlungen entgegennehmen.
PIRATE_BUYINFO					;Wir können Sie zu den angegebenen Preisen mit Informationen zu allen Gegenständen versorgen, die unten aufgeführt sind.
